;Hora 1;Hora 2;Hora 3;Hora 4;Hora 5;Hora 6;Hora 7;Hora 8;Hora 9;Hora 10;Hora 11;Hora 12;Hora 13;Hora 14;Hora 15;Hora 16;Hora 17;Hora 18;Hora 19;Hora 20;Hora 21;Hora 22;Hora 23;Hora 24
Cliente 1; 0,22 ; 0,26 ; 0,28 ; 0,29 ; 0,30 ; 0,26 ; 0,22 ; 0,46 ; 0,96 ; 1,09 ; 0,66 ; 0,39 ; 0,59 ; 0,73 ; 0,67 ; 0,25 ; 1,21 ; 3,64 ; 4,42 ; 2,74 ; 1,43 ; 1,17 ; 0,95 ; 0,81 
Cliente 2; 0,58 ; 0,70 ; 0,78 ; 0,83 ; 0,84 ; 0,66 ; 0,54 ; 0,66 ; 0,81 ; 0,71 ; 0,69 ; 0,70 ; 0,72 ; 0,70 ; 0,69 ; 0,64 ; 0,87 ; 1,57 ; 2,26 ; 2,22 ; 1,86 ; 1,69 ; 1,39 ; 0,88 
Cliente 3; 0,77 ; 0,66 ; 0,63 ; 0,64 ; 0,55 ; 0,36 ; 0,23 ; 0,24 ; 0,25 ; 0,22 ; 0,25 ; 0,43 ; 0,66 ; 0,75 ; 0,57 ; 0,29 ; 0,81 ; 3,13 ; 4,48 ; 3,32 ; 1,79 ; 1,38 ; 1,01 ; 0,59 
Cliente 4; 0,79 ; 0,44 ; 0,34 ; 0,52 ; 0,70 ; 0,50 ; 0,22 ; 0,48 ; 0,79 ; 0,77 ; 0,72 ; 0,85 ; 0,81 ; 0,74 ; 0,73 ; 0,76 ; 0,99 ; 1,53 ; 2,57 ; 2,98 ; 2,34 ; 1,44 ; 1,01 ; 0,97 
Cliente 5; 0,80 ; 0,60 ; 0,46 ; 0,31 ; 0,18 ; 0,19 ; 0,33 ; 0,73 ; 1,03 ; 0,77 ; 0,36 ; 0,43 ; 0,64 ; 0,70 ; 0,60 ; 0,53 ; 1,41 ; 2,63 ; 2,92 ; 2,40 ; 2,00 ; 1,55 ; 1,26 ; 1,17 
Cliente 6; 0,01 ; 0,01 ; 0,00 ; -   ; -   ; -   ; 0,34 ; 0,90 ; 0,98 ; 0,55 ; 0,30 ; 0,35 ; 0,36 ; 0,28 ; 0,20 ; 0,28 ; 0,24 ; 0,48 ; 1,77 ; 3,35 ; 3,73 ; 3,50 ; 3,34 ; 3,09 
Cliente 7; 1,14 ; 0,92 ; 0,78 ; 0,69 ; 0,57 ; 0,39 ; 0,20 ; 0,02 ; -   ; 0,06 ; 0,20 ; 0,38 ; 0,41 ; 0,30 ; 0,17 ; 0,19 ; 0,59 ; 1,29 ; 1,95 ; 2,62 ; 3,15 ; 3,10 ; 2,73 ; 2,17 
Cliente 8; 1,07 ; 0,54 ; 0,28 ; 0,33 ; 0,40 ; 0,46 ; 0,53 ; 0,67 ; 0,86 ; 1,02 ; 0,79 ; 0,51 ; 0,39 ; 0,34 ; 0,30 ; 0,27 ; 0,70 ; 1,72 ; 2,38 ; 2,44 ; 2,35 ; 1,98 ; 1,76 ; 1,93 
Cliente 9; 0,95 ; 0,26 ; -   ; -   ; 0,00 ; 0,01 ; 0,02 ; -   ; 0,12 ; 0,72 ; 1,23 ; 1,09 ; 0,96 ; 0,92 ; 0,75 ; 0,59 ; 0,84 ; 1,46 ; 2,28 ; 2,69 ; 2,54 ; 2,19 ; 2,14 ; 2,32 
Cliente 10; 0,88 ; 0,69 ; 0,63 ; 0,63 ; 0,63 ; 0,82 ; 1,07 ; 1,03 ; 0,89 ; 0,88 ; 0,96 ; 1,13 ; 1,23 ; 1,13 ; 1,00 ; 0,86 ; 0,70 ; 0,79 ; 1,19 ; 1,56 ; 1,60 ; 1,36 ; 1,18 ; 1,15 
Cliente 11; 0,20 ; 0,19 ; 0,19 ; 0,19 ; 0,19 ; 0,14 ; 0,34 ; 1,08 ; 1,92 ; 2,24 ; 2,08 ; 1,86 ; 1,86 ; 2,19 ; 2,50 ; 2,62 ; 2,09 ; 1,03 ; 0,21 ; 0,13 ; 0,20 ; 0,19 ; 0,19 ; 0,19 
Cliente 12; 0,16 ; 0,17 ; 0,17 ; 0,17 ; 0,17 ; 0,13 ; 0,31 ; 1,00 ; 1,78 ; 2,11 ; 2,17 ; 2,17 ; 2,18 ; 2,29 ; 2,46 ; 2,53 ; 2,03 ; 0,99 ; 0,20 ; 0,12 ; 0,18 ; 0,18 ; 0,17 ; 0,17 
Cliente 13; 0,19 ; 0,19 ; 0,19 ; 0,19 ; 0,19 ; 0,14 ; 0,36 ; 1,12 ; 1,95 ; 2,27 ; 2,27 ; 2,26 ; 2,23 ; 2,16 ; 2,08 ; 2,13 ; 1,86 ; 1,01 ; 0,26 ; 0,14 ; 0,21 ; 0,21 ; 0,20 ; 0,19 
Cliente 14; 0,21 ; 0,21 ; 0,21 ; 0,21 ; 0,21 ; 0,16 ; 0,37 ; 1,09 ; 1,83 ; 2,15 ; 2,16 ; 2,05 ; 1,96 ; 2,07 ; 2,30 ; 2,51 ; 2,06 ; 1,01 ; 0,22 ; 0,16 ; 0,22 ; 0,21 ; 0,21 ; 0,20 
Cliente 15; 0,45 ; 0,44 ; 0,44 ; 0,46 ; 0,58 ; 0,70 ; 0,55 ; 0,22 ; -   ; 0,09 ; 0,39 ; 0,45 ; 0,33 ; 0,78 ; 1,48 ; 2,82 ; 4,97 ; 4,70 ; 1,92 ; 0,31 ; 0,53 ; 0,53 ; 0,47 ; 0,43 
Cliente 16; 0,19 ; 0,25 ; 0,26 ; 0,26 ; 0,26 ; 0,21 ; 0,38 ; 0,66 ; 0,53 ; 0,09 ; -   ; -   ; -   ; 0,07 ; 0,74 ; 2,03 ; 4,73 ; 5,95 ; 3,90 ; 1,01 ; 0,49 ; 0,65 ; 0,69 ; 0,72 
Cliente 17; 0,62 ; 0,59 ; 0,52 ; 0,39 ; 0,34 ; 0,45 ; 0,58 ; 0,56 ; 0,31 ; 0,06 ; -   ; -   ; 0,02 ; 0,34 ; 0,79 ; 1,81 ; 4,23 ; 5,09 ; 3,33 ; 1,30 ; 0,79 ; 0,59 ; 0,60 ; 0,75 
Cliente 18; 0,64 ; 0,66 ; 0,60 ; 0,46 ; 0,43 ; 0,52 ; 0,58 ; 0,77 ; 1,01 ; 0,72 ; 0,14 ; -   ; 0,11 ; 0,79 ; 1,33 ; 2,11 ; 4,10 ; 4,22 ; 1,94 ; 0,36 ; 0,61 ; 0,68 ; 0,68 ; 0,66 
Cliente 19; 0,57 ; 0,56 ; 0,53 ; 0,50 ; 0,47 ; 0,38 ; 0,38 ; 0,60 ; 0,53 ; 0,17 ; -   ; -   ; -   ; 0,37 ; 1,03 ; 1,79 ; 3,75 ; 5,22 ; 3,71 ; 1,14 ; 0,48 ; 0,65 ; 0,66 ; 0,64 
Cliente 20; 0,28 ; 0,28 ; 0,27 ; 0,23 ; 0,23 ; 0,12 ; 0,70 ; 2,67 ; 3,27 ; 1,48 ; -   ; -   ; 0,08 ; 0,75 ; 1,45 ; 2,32 ; 3,68 ; 3,49 ; 1,49 ; 0,19 ; 0,27 ; 0,34 ; 0,33 ; 0,31 
Cliente 21; 0,60 ; 0,47 ; 0,39 ; 0,36 ; 0,45 ; 0,55 ; 0,42 ; 0,13 ; -   ; 0,13 ; 0,75 ; 1,10 ; 0,63 ; 0,08 ; -   ; -   ; 2,68 ; 6,25 ; 5,57 ; 1,87 ; 0,28 ; 0,46 ; 0,56 ; 0,65 
Cliente 22; 0,70 ; 0,77 ; 0,80 ; 0,81 ; 0,85 ; 0,92 ; 0,72 ; 0,27 ; -   ; -   ; -   ; -   ; 0,00 ; -   ; -   ; 1,66 ; 5,52 ; 5,88 ; 2,41 ; 0,26 ; 0,60 ; 0,69 ; 0,67 ; 0,62 
Cliente 23; 0,56 ; 0,45 ; 0,41 ; 0,42 ; 0,52 ; 0,60 ; 0,74 ; 0,95 ; 0,77 ; 0,25 ; -   ; -   ; -   ; -   ; -   ; 1,49 ; 5,61 ; 6,20 ; 2,55 ; 0,35 ; 0,61 ; 0,70 ; 0,65 ; 0,52 
Cliente 24; 0,29 ; 0,26 ; 0,31 ; 0,40 ; 0,41 ; 0,38 ; 0,52 ; 1,21 ; 1,75 ; 1,29 ; 0,35 ; -   ; 0,02 ; 0,43 ; 1,04 ; 2,57 ; 4,70 ; 4,38 ; 1,83 ; 0,28 ; 0,37 ; 0,44 ; 0,42 ; 0,43 
Cliente 25; 0,78 ; 0,70 ; 0,61 ; 0,52 ; 0,54 ; 0,68 ; 0,89 ; 1,34 ; 1,26 ; 0,51 ; -   ; -   ; -   ; -   ; -   ; 0,43 ; 4,12 ; 5,56 ; 2,75 ; 0,13 ; 0,58 ; 0,86 ; 0,98 ; 1,07 
Cliente 26; -   ; -   ; -   ; -   ; -   ; -   ; 0,16 ; 1,24 ; 2,36 ; 2,64 ; 2,59 ; 2,20 ; 1,34 ; 1,22 ; 2,09 ; 2,63 ; 2,48 ; 1,86 ; 0,95 ; 0,29 ; 0,08 ; 0,01 ; -   ; 0,01 
Cliente 27; -   ; -   ; -   ; -   ; -   ; -   ; 0,13 ; 1,04 ; 1,88 ; 2,01 ; 2,30 ; 2,34 ; 1,73 ; 1,50 ; 2,07 ; 2,39 ; 2,50 ; 2,26 ; 1,47 ; 0,53 ; 0,04 ; -   ; -   ; 0,02 
Cliente 28; -   ; -   ; -   ; -   ; -   ; -   ; 0,22 ; 0,96 ; 1,81 ; 2,36 ; 2,70 ; 2,23 ; 1,22 ; 1,29 ; 2,32 ; 2,73 ; 2,49 ; 2,22 ; 1,35 ; 0,31 ; -   ; -   ; -   ; 0,01 
Cliente 29; -   ; -   ; -   ; -   ; -   ; -   ; 0,19 ; 0,80 ; 1,49 ; 1,90 ; 2,12 ; 1,77 ; 1,02 ; 0,99 ; 1,70 ; 2,09 ; 2,08 ; 1,99 ; 1,76 ; 1,62 ; 1,46 ; 0,88 ; 0,32 ; -   
Cliente 30; -   ; -   ; -   ; -   ; -   ; -   ; 0,09 ; 0,98 ; 2,02 ; 2,39 ; 2,36 ; 1,89 ; 0,81 ; 0,30 ; 1,30 ; 2,46 ; 2,55 ; 2,05 ; 1,59 ; 1,33 ; 1,12 ; 0,69 ; 0,25 ; -   
Cliente 31; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,70 ; 1,68 ; 2,09 ; 2,18 ; 1,95 ; 1,32 ; 1,19 ; 1,61 ; 1,70 ; 1,77 ; 2,07 ; 2,38 ; 2,16 ; 1,16 ; 0,23 ; -   ; 0,02 
Cliente 32; -   ; -   ; -   ; -   ; -   ; -   ; 0,07 ; 0,78 ; 1,54 ; 1,87 ; 2,15 ; 2,02 ; 1,26 ; 1,19 ; 1,98 ; 2,31 ; 2,14 ; 2,06 ; 1,98 ; 1,60 ; 0,89 ; 0,25 ; -   ; -   
